StudentID,StudentName,StudentAddress,PhoneNumber
100,Alex Fiddle,"100,Cundle Street, Barrie",7053422131
101,Mike Phillips,"3,Cundle Street, Barrie",7053213431
102,Chase Edwards,"57,Mapleview Street, Barrie",8943211234
103,Sharon Croft,"2,Yonge Street, Barrie",7053894234
104,Cindy James,"21,Georgian Drive, Barrie",4123211234
105,Paul Edwards,"6,Bell Farm Road, Barrie",9033834234
106,Jake Weah,"24,Yonge Street, Barrie",5431276434
107,Dwight Peters,"121,Duncan Street, Barrie",6478751234
108,Logan Eric,"21,Bell Farm Road, Barrie",9046544321
109,Sam Roberts,"13,Cundle Street, Barrie",5673211234
